"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"76","Grant to Muslimah Sports Association","GBP",1500,2015-01-07,"Muslimah Sports Association","Greater London Authority","Communities and Intelligence","FreeSport",2230.04331125739,"med"
"77","Grant to Enfield Town Shotokan Karate Club","GBP",1500,2015-01-07,"Enfield Town Shotokan Karate Club","Greater London Authority","Communities and Intelligence","FreeSport",2083.21878636391,"med"
"78","Grant to Archery for All","GBP",400,2015-01-07,"Archery for All","Greater London Authority","Communities and Intelligence","FreeSport",345.445446000382,"med"
"79","Grant to Age UK Merton","GBP",1225,2015-01-07,"Age UK Merton","Greater London Authority","Communities and Intelligence","FreeSport",1329.00454161974,"small"
"80","Grant to A Mile in Her Shoes","GBP",550,2015-01-07,"A Mile in Her Shoes","Greater London Authority","Communities and Intelligence","FreeSport",586.768345737104,"large"
"81","Grant to Westminster Boating Base","GBP",1500,2015-01-08,"Westminster Boating Base","Greater London Authority","Communities and Intelligence","FreeSport",2141.5126543388,"med"
"82","Grant to TEAMWIRC","GBP",1500,2015-01-08,"TEAMWIRC","Greater London Authority","Communities and Intelligence","FreeSport",1756.72675535379,"med"
"83","Grant to London Sports Trust","GBP",1095,2015-01-08,"London Sports Trust","Greater London Authority","Communities and Intelligence","FreeSport",1662.25401241371,"med"
"84","Grant to Highbury Korfball Club","GBP",1480,2015-01-08,"Highbury Korfball Club","Greater London Authority","Communities and Intelligence","FreeSport",1295.27744937877,"med"
"85","Grant to Tottenham Community Sports Centre","GBP",1100,2015-01-09,"Tottenham Community Sports Centre","Greater London Authority","Communities and Intelligence","FreeSport",1141.15918565577,"med"
"86","Grant to The HIVE Croydon","GBP",1500,2015-01-09,"The HIVE Croydon","Greater London Authority","Communities and Intelligence","FreeSport",1840.464915207,"small"
"87","Grant to Mytime Active","GBP",1300,2015-01-09,"Mytime Active","Greater London Authority","Communities and Intelligence","FreeSport",1650.59297522285,"small"
"88","Grant to Innovation Dance Studios Ltd","GBP",620,2015-01-09,"Innovation Dance Studios Ltd","Greater London Authority","Communities and Intelligence","FreeSport",878.734901365863,"med"
"89","Grant to Friends of Hillside Gardens Park","GBP",1330,2015-01-09,"Friends of Hillside Gardens Park","Greater London Authority","Communities and Intelligence","FreeSport",1428.4394829854,"med"
"90","Grant to Folk in Motion CIC","GBP",1500,2015-01-09,"Folk in Motion CIC","Greater London Authority","Communities and Intelligence","FreeSport",2188.97192434177,"small"
"91","Grant to WISE Youth Trust","GBP",1500,2015-01-10,"WISE Youth Trust","Greater London Authority","Communities and Intelligence","FreeSport",2058.52654273709,"large"
"92","Grant to South London 6th Form Football League Limited","GBP",1350,2015-01-10,"South London 6th Form Football League Limited","Greater London Authority","Communities and Intelligence","FreeSport",1323.46322143925,"med"
"93","Grant to Hackney Sparrows Wheelchair Basketball Club","GBP",1500,2015-01-10,"Hackney Sparrows Wheelchair Basketball Club","Greater London Authority","Communities and Intelligence","FreeSport",2153.79358261481,"small"
"94","Grant to England Athletics- Run! London Project","GBP",946.75,2015-01-10,"England Athletics","Greater London Authority","Communities and Intelligence","FreeSport",945.760541269177,"small"
"95","Grant to De Silva Taekwon-Do Limited","GBP",1500,2015-01-10,"De Silva Taekwon-Do Limited","Greater London Authority","Communities and Intelligence","FreeSport",1460.14017158618,"large"
"96","Grant to Apsara Arts","GBP",1500,2015-01-10,"Apsara Arts","Greater London Authority","Communities and Intelligence","FreeSport",1385.51463226805,"large"
"97","Grant to Ali's Dojang","GBP",1010,2015-01-10,"Ali's Dojang","Greater London Authority","Communities and Intelligence","FreeSport",1287.03944305258,"small"
"98","Grant to The 2000 Club","GBP",1500,2015-01-11,"The 2000 Club","Greater London Authority","Communities and Intelligence","FreeSport",1599.54095321258,"small"
"99","Grant to Sport4Health Community Interest Company","GBP",1420,2015-01-11,"Sport4Health Community Interest Company","Greater London Authority","Communities and Intelligence","FreeSport",1847.39769408983,"large"
"100","Grant to Riana Development Foundation Network","GBP",1500,2015-01-11,"Riana Development Foundation Network","Greater London Authority","Communities and Intelligence","FreeSport",2010.42487003676,"small"
"101","Grant to Poplar HARCA","GBP",1500,2015-01-11,"Poplar HARCA","Greater London Authority","Communities and Intelligence","FreeSport",2168.3687482758,"small"
"102","Grant to The Salmon Youth Centre","GBP",1410,2015-01-12,"The Salmon Youth Centre","Greater London Authority","Communities and Intelligence","FreeSport",1095.38340012485,"large"
"103","Grant to Stepney Football Club","GBP",1500,2015-01-12,"Stepney Football Club","Greater London Authority","Communities and Intelligence","FreeSport",2601.07702738204,"large"
"104","Grant to Shacklewell Primary School","GBP",1025,2015-01-12,"Shacklewell Primary School","Greater London Authority","Communities and Intelligence","FreeSport",1001.06895296012,"med"
"105","Grant to Rathbone Society","GBP",1500,2015-01-12,"Rathbone Society","Greater London Authority","Communities and Intelligence","FreeSport",1838.89791853703,"small"
"106","Grant to North London Cricket Club","GBP",1000,2015-01-12,"North London Cricket Club","Greater London Authority","Communities and Intelligence","FreeSport",1587.3497385565,"med"
"107","Grant to MBS Enterprise","GBP",1400,2015-01-12,"MBS Enterprise","Greater London Authority","Communities and Intelligence","FreeSport",1984.35144741767,"large"
"108","Grant to London FA","GBP",940,2015-01-12,"London FA","Greater London Authority","Communities and Intelligence","FreeSport",847.101066228461,"med"
"109","Grant to LB Southwark","GBP",590,2015-01-12,"LB Southwark","Greater London Authority","Communities and Intelligence","FreeSport",323.460237728602,"med"
"110","Grant to Jacksons Lane","GBP",1500,2015-01-12,"Jacksons Lane","Greater London Authority","Communities and Intelligence","FreeSport",2922.61194211508,"large"
"111","Grant to Fusion Lifestyle","GBP",1500,2015-01-12,"Fusion Lifestyle","Greater London Authority","Communities and Intelligence","FreeSport",1754.9810356912,"med"
"112","Grant to Capital City Academy","GBP",1500,2015-01-12,"Capital City Academy","Greater London Authority","Communities and Intelligence","FreeSport",2302.64918971339,"med"
"113","Grant to Cambridge House","GBP",1500,2015-01-12,"Cambridge House","Greater London Authority","Communities and Intelligence","FreeSport",1339.03751940453,"large"
"114","Grant to Age UK Bromley & Greenwich","GBP",1140,2015-01-12,"Age UK Bromley & Greenwich","Greater London Authority","Communities and Intelligence","FreeSport",1024.59856220983,"large"
"115","Grant to Wac Arts","GBP",1499,2015-01-14,"Wac Arts","Greater London Authority","Communities and Intelligence","FreeSport",2349.66120646322,"large"
"116","Grant to Park View FC","GBP",1500,2015-01-14,"Park View FC","Greater London Authority","Communities and Intelligence","FreeSport",1109.62736999757,"med"
"117","Grant to London Wheelchair Baskeball Association","GBP",1475,2015-01-14,"London Wheelchair Baskeball Association","Greater London Authority","Communities and Intelligence","FreeSport",1860.69188469202,"large"
"118","Grant to Crystal Palace FC Foundation","GBP",1500,2015-01-14,"Crystal Palace FC Foundation","Greater London Authority","Communities and Intelligence","FreeSport",921.623237867057,"large"
"119","Grant to Southall Community Alliance","GBP",1350,2015-01-15,"Southall Community Alliance","Greater London Authority","Communities and Intelligence","FreeSport",1956.96708298262,"small"
"120","Grant to Lewisham Lions Softball","GBP",1500,2015-01-15,"Lewisham Lions Softball","Greater London Authority","Communities and Intelligence","FreeSport",1403.31325014041,"small"
"121","Grant to LB Hillingdon","GBP",820,2015-01-15,"LB Hillingdon","Greater London Authority","Communities and Intelligence","FreeSport",1031.96479945772,"large"
"122","Grant to Innovativevisionorganisation","GBP",1200,2015-01-15,"Innovativevisionorganisation","Greater London Authority","Communities and Intelligence","FreeSport",1268.04502718575,"small"
"123","Grant to Crest Waltham Forest","GBP",1420,2015-01-15,"Crest Waltham Forest","Greater London Authority","Communities and Intelligence","FreeSport",1099.36505804186,"large"
"124","Grant to Age UK Lewisham and Southwark","GBP",1270,2015-01-15,"Age UK Lewisham and Southwark","Greater London Authority","Communities and Intelligence","FreeSport",1572.94776105379,"large"
"125","Grant to Streatham Park Bowls Club","GBP",554.8,2015-01-17,"Streatham Park Bowls Club","Greater London Authority","Communities and Intelligence","FreeSport",428.057453548433,"small"
"126","Grant to LB Enfield","GBP",940,2015-01-17,"LB Enfield","Greater London Authority","Communities and Intelligence","FreeSport",1265.32637509719,"small"
"127","Grant to Harrow St Marys Youth FC","GBP",1450,2015-01-17,"Harrow St Marys Youth FC","Greater London Authority","Communities and Intelligence","FreeSport",1431.39364836188,"med"
"128","Grant to Trust Thamesmead","GBP",1500,2015-01-19,"Trust Thamesmead","Greater London Authority","Communities and Intelligence","FreeSport",1916.90951332685,"small"
"129","Grant to South West London Athletics Network","GBP",1500,2015-01-19,"South West London Athletics Network","Greater London Authority","Communities and Intelligence","FreeSport",2377.93665481017,"small"
"130","Grant to Merton School Sport Partnership","GBP",1300,2015-01-19,"Merton School Sport Partnership","Greater London Authority","Communities and Intelligence","FreeSport",1927.50739233046,"med"
"131","Grant to Islington Netball Club","GBP",1500,2015-01-19,"Islington Netball Club","Greater London Authority","Communities and Intelligence","FreeSport",1936.17230468612,"small"
"132","Grant to Henna Asian Women's Group","GBP",1363.2,2015-01-19,"Henna Asian Women's Group","Greater London Authority","Communities and Intelligence","FreeSport",1268.979825626,"large"
"133","Grant to Harris Academy Merton","GBP",1500,2015-01-19,"Harris Academy Merton","Greater London Authority","Communities and Intelligence","FreeSport",2047.87585477938,"med"
"134","Grant to Streatham Youth and Community Trust","GBP",1390,2015-01-20,"Streatham Youth and Community Trust","Greater London Authority","Communities and Intelligence","FreeSport",1486.89078189146,"small"
"135","Grant to Corner Nine Arts Project","GBP",1170,2015-01-21,"Corner Nine Arts Project","Greater London Authority","Communities and Intelligence","FreeSport",945.272384081615,"med"
"136","Grant to Bring The Change CIC","GBP",1180,2015-01-21,"Bring The Change CIC","Greater London Authority","Communities and Intelligence","FreeSport",1851.84043553592,"large"
"137","Grant to Action on Disability (formerly HAFAD)","GBP",1500,2015-01-21,"Action on Disability (formerly HAFAD)","Greater London Authority","Communities and Intelligence","FreeSport",2410.30097672236,"small"
"138","Grant to Union Dance Trust Ltd","GBP",1295,2015-01-22,"Union Dance Trust Ltd","Greater London Authority","Communities and Intelligence","FreeSport",1320.50903545873,"small"
"139","Grant to The Block Workout Foundation","GBP",1300,2015-01-24,"The Block Workout Foundation","Greater London Authority","Communities and Intelligence","FreeSport",1219.2392421846,"large"
"140","Grant to Tamil Association of Brent","GBP",1500,2015-01-24,"Tamil Association of Brent","Greater London Authority","Communities and Intelligence","FreeSport",1657.69714879589,"large"
"141","Grant to Sports Fun 4 All Limited","GBP",1260,2015-01-24,"Sports Fun 4 All Limited","Greater London Authority","Communities and Intelligence","FreeSport",1480.58619328479,"med"
"142","Grant to Somali Int Youth Development","GBP",1500,2015-01-24,"Somali Int Youth Development","Greater London Authority","Communities and Intelligence","FreeSport",1660.78723302808,"small"
"143","Grant to Newlife Conquerors Netball Club","GBP",930,2015-01-24,"Newlife Conquerors Netball Club","Greater London Authority","Communities and Intelligence","FreeSport",586.729703200669,"small"
"144","Grant to Afghanistan and Central Asian Association","GBP",1480,2015-01-24,"Afghanistan and Central Asian Association","Greater London Authority","Communities and Intelligence","FreeSport",1262.70874077039,"med"
"145","Grant to Saracens Sport Foundation","GBP",1100,2015-01-26,"Saracens Sport Foundation","Greater London Authority","Communities and Intelligence","FreeSport",1400.49301293861,"small"
"146","Grant to LBBD Sports Development Team","GBP",1500,2015-01-26,"LBBD Sports Development Team","Greater London Authority","Communities and Intelligence","FreeSport",2169.44247907489,"med"
"147","Grant to Dao Lu C.I.C.","GBP",877.5,2015-01-27,"Dao Lu C.I.C.","Greater London Authority","Communities and Intelligence","FreeSport",576.309462717922,"med"
"148","Grant to Kent Exiles American Football Club","GBP",730,2015-02-01,"Kent Exiles American Football Club","Greater London Authority","Communities and Intelligence","FreeSport",855.871232879052,"large"
"149","Grant to Wandsworth Borough Council","GBP",1415,2015-02-02,"Wandsworth Borough Council","Greater London Authority","Communities and Intelligence","FreeSport",1727.85220703988,"med"
"150","Grant to Raiders Netball Club","GBP",1040,2015-02-02,"Raiders Netball Club","Greater London Authority","Communities and Intelligence","FreeSport",1433.07362415751,"large"
"151","Grant to Full Fitness Foundation Ltd","GBP",1500,2015-02-02,"Full Fitness Foundation Ltd","Greater London Authority","Communities and Intelligence","FreeSport",1885.87345068055,"med"
"152","Grant to Eton Manor Athletics Club","GBP",520,2015-02-02,"Eton Manor Athletics Club","Greater London Authority","Communities and Intelligence","FreeSport",808.024099851244,"small"
"153","Grant to Newlon Fusion","GBP",1160,2015-02-03,"Newlon Fusion","Greater London Authority","Communities and Intelligence","FreeSport",992.426643689309,"med"
"154","Grant to London Thunder Basketball","GBP",1500,2015-02-03,"London Thunder Basketball","Greater London Authority","Communities and Intelligence","FreeSport",1783.8794810057,"small"
"155","Grant to LB Ealing","GBP",770000,2015-02-03,"LB Ealing","Greater London Authority","Development, Enterprise & Environment",NA,785589.389350701,"med"
"156","Grant to LB Bromley","GBP",160000,2015-02-03,"LB Bromley","Greater London Authority","Development, Enterprise & Environment",NA,226023.141414618,"med"
"157","Grant to Watford FC Community Sports & Education Trust","GBP",1367.5,2015-02-04,"Watford FC Community Sports & Education Trust","Greater London Authority","Communities and Intelligence","FreeSport",1510.5264888408,"med"
"158","Grant to Queen's Crescent Community Association","GBP",1060,2015-02-04,"Queen's Crescent Community Association","Greater London Authority","Communities and Intelligence","FreeSport",1409.17142687279,"large"
"159","Grant to Key Changes","GBP",1000,2015-02-04,"Key Changes","Greater London Authority","Communities and Intelligence","FreeSport",1677.64905864546,"small"
"160","Grant to Whitehall Tennis Club","GBP",1500,2015-02-07,"Whitehall Tennis Club","Greater London Authority","Communities and Intelligence","FreeSport",1668.48171193126,"small"
"161","Grant to London Skolars RL","GBP",1500,2015-02-07,"London Skolars RL","Greater London Authority","Communities and Intelligence","FreeSport",1703.62621089083,"large"
"162","Grant to Kaizen Academy for Sports Development","GBP",1500,2015-02-07,"Kaizen Academy for Sports Development","Greater London Authority","Communities and Intelligence","FreeSport",1223.05921312566,"small"
"163","Grant to Old Actonians Association Sports Club","GBP",730,2015-02-08,"Old Actonians Association Sports Club","Greater London Authority","Communities and Intelligence","FreeSport",1078.36781985446,"med"
"164","Grant to London Academies Enterprise Trust","GBP",283813,2015-02-10,"London Academies Enterprise Trust","Greater London Authority","Communities and Intelligence",NA,328877.838556409,"large"
"165","Grant to TackleAfrica","GBP",1500,2015-02-16,"TackleAfrica","Greater London Authority","Communities and Intelligence","FreeSport",2268.90918666727,"small"
"166","Grant to P.A.L.A.C.E","GBP",1320,2015-02-17,"P.A.L.A.C.E","Greater London Authority","Communities and Intelligence","FreeSport",1725.62079099939,"small"
"167","Grant to The Change Foundation","GBP",600,2015-02-18,"The Change Foundation","Greater London Authority","Communities and Intelligence","FreeSport",678.420274476403,"small"
"168","Grant to Surrey Canoe Club","GBP",1380,2015-02-20,"Surrey Canoe Club","Greater London Authority","Communities and Intelligence","FreeSport",1428.09991167196,"med"
"169","Grant to Boston Gardens Softball","GBP",1460,2015-02-21,"Boston Gardens Softball","Greater London Authority","Communities and Intelligence","FreeSport",1375.57859404699,"small"
"170","Grant to The Golf Trust","GBP",1500,2015-02-22,"The Golf Trust","Greater London Authority","Communities and Intelligence","FreeSport",1789.18097864758,"small"
"171","Grant to Bring the Change CIC","GBP",1500,2015-02-23,"Bring The Change CIC","Greater London Authority","Communities and Intelligence","FreeSport",2731.75723221667,"med"
"172","Grant to London South Bank University","GBP",1300,2015-02-24,"London South Bank University","Greater London Authority","Communities and Intelligence","FreeSport",1119.53269922551,"med"
"173","Grant to Lewisham Wrestling Club","GBP",1200,2015-02-24,"Lewisham Wrestling Club","Greater London Authority","Communities and Intelligence","FreeSport",1938.6083952907,"large"
"174","Grant to Sport Impact","GBP",1350,2015-02-25,"Sport Impact","Greater London Authority","Communities and Intelligence","FreeSport",1080.24621265913,"med"
